"gu","year","area","price"
"노원구",1988,59.39,500
"노원구",1988,70.56,485
"노원구",1988,49.94,360
"노원구",1988,74.58,510
"노원구",1988,59.39,350
"노원구",1988,45.9,380
"노원구",1988,58.01,460
"노원구",1988,84.95,655
"노원구",1988,41.3,319
"노원구",1988,79.07,540
"노원구",1988,49.94,398
"노원구",1988,44.33,282
"노원구",1988,49.94,340
"노원구",1988,41.3,309
"노원구",1988,41.3,307
"노원구",1988,49.94,360
"노원구",1988,58.01,458
"노원구",1988,59.39,367
"노원구",1988,49.94,550
"노원구",1988,53.14,368
"노원구",1988,84.92,425
"노원구",1988,49.94,468
"노원구",1988,58.01,418
"노원구",1988,58.01,430
"노원구",1988,53.14,362
"노원구",1988,45.77,284
"노원구",1988,44.33,303
"노원구",1988,27,188
"노원구",1988,49.94,336
"노원구",1988,32.39,330
"노원구",1988,79.25,440
"노원구",1988,32.39,265
"노원구",1988,58.01,368
"노원구",1988,59.39,345
"노원구",1988,54.59,335
"노원구",1988,35.28,267
"노원구",1988,59.39,470
"노원구",1988,59.39,455
"노원구",1988,58.01,495
"노원구",1988,51.3,150
"노원구",1988,41.3,360
"노원구",1988,45.55,326
"노원구",1988,45.55,364
"노원구",1988,59.28,370
"노원구",1988,57.71,396
"노원구",1988,41.3,335
"노원구",1988,45.9,355
"노원구",1988,60.5,400
"노원구",1988,49.94,378
"노원구",1988,59.39,550
"노원구",1988,49.94,390
"노원구",1988,55.72,370
"노원구",1988,41.3,300
"노원구",1988,45.9,380
"노원구",1988,49.94,396
"노원구",1988,58.01,519
"노원구",1988,47.61,163
"노원구",1988,44.33,275
"노원구",1988,49.94,419
"노원구",1988,73.94,490
"노원구",1988,49.94,485
"노원구",1988,59.39,500
"노원구",1988,84.97,625
"노원구",1988,41.3,322
"노원구",1988,35.28,285
"노원구",1988,84.95,657
"노원구",1988,58.01,479
"노원구",1988,58.01,387
"노원구",1988,58.01,500
"노원구",1988,58.01,425
"노원구",1988,45.9,400
"노원구",1988,41.3,290
"노원구",1988,59.39,351
"노원구",1988,58.01,370
"노원구",1988,47.34,365
"노원구",1988,35.28,265
"노원구",1988,38,345
"노원구",1988,59.39,365
"노원구",1988,49.94,360
"노원구",1988,45.77,345
"노원구",1988,47.61,160
"노원구",1988,84.85,595
"노원구",1988,84.95,650
"노원구",1988,49.94,379
"노원구",1988,49.94,395
"노원구",1989,46.8,270
"노원구",1989,49.5,362
"노원구",1989,49.94,308
"노원구",1989,43.35,255
"노원구",1989,43.41,250
"노원구",1989,58.01,365
"노원구",1989,49.94,364
"노원구",1989,90.94,590
"노원구",1989,43.56,277
"노원구",1989,49.5,330
"노원구",1989,59.9,334
"노원구",1989,38.71,213
"노원구",1989,64.88,430
"노원구",1989,84.41,527
"노원구",1989,114.57,705
"노원구",1989,39.78,270
"노원구",1989,72.73,517
"노원구",1989,43.41,311
"노원구",1989,49.94,302
"노원구",1989,43.41,253
"노원구",1989,41.3,295
"노원구",1989,58.01,353
"노원구",1989,45.55,246
"노원구",1989,45.55,280
"노원구",1989,57.97,410
"노원구",1989,84.89,500
"노원구",1989,72.49,534
"노원구",1989,39.92,263
"노원구",1989,49.94,298
"노원구",1989,84.97,595
"노원구",1989,74.2,545
"노원구",1989,43.41,314
"노원구",1989,54.29,349
"노원구",1989,75.03,370
"노원구",1989,84.97,600
"노원구",1989,65.33,420
"노원구",1989,41.3,285
"노원구",1989,54.02,350
"노원구",1989,54.29,325
"노원구",1989,43.56,285
"노원구",1989,49.5,345
"노원구",1990,59.87,388
"노원구",1990,84.59,398
"노원구",1990,39.78,290
"노원구",1990,49.5,329
"노원구",1990,49.5,368
"노원구",1990,39.78,295
"노원구",1990,39.91,280
"노원구",1990,49.5,350
"노원구",1990,39.91,290
"노원구",1990,39.91,289
"노원구",1990,60.44,334
"노원구",1990,60.44,348
"노원구",1990,49.85,382
"노원구",1990,59.46,411
"노원구",1991,59.39,500
"노원구",1991,39.82,235
"노원구",1991,39.96,260
"노원구",1991,84.96,535
"노원구",1991,84.34,470
"노원구",1991,59.26,399
"노원구",1991,39.96,290
"노원구",1991,59.26,420
"노원구",1991,59.26,405
"노원구",1991,75.02,470
"노원구",1991,39.96,238
"노원구",1991,59.39,470
"노원구",1992,84.79,805
"노원구",1992,44.52,315
"노원구",1992,84.94,490
"노원구",1992,44.52,330
"노원구",1992,44.52,340
"노원구",1992,44.52,280
"노원구",1992,44.52,308
"노원구",1992,38.64,220
"노원구",1992,76.51,725
"노원구",1992,58.46,510
"노원구",1992,44.52,309
"노원구",1992,38.64,227
"노원구",1992,58.46,503
"노원구",1992,44.52,232
"노원구",1992,76.51,630
"노원구",1992,44.52,300
"노원구",1992,44.94,250
"노원구",1992,44.52,250
"노원구",1992,44.52,303
"노원구",1992,76.51,710
"노원구",1992,58.46,495
"노원구",1992,44.94,318
"노원구",1992,44.52,272
"노원구",1992,38.64,270
"노원구",1992,44.52,250
"노원구",1993,83.92,415
"노원구",1993,44.1,299
"노원구",1993,134.74,899
"노원구",1993,112.24,720
"노원구",1993,134.74,920
"노원구",1993,134.74,900
"노원구",1993,44.1,281
"노원구",1993,107.95,690
"노원구",1993,115.35,890
"노원구",1993,82.94,378
"노원구",1993,44.1,287
"노원구",1993,101.85,730
"노원구",1993,115.26,830
"노원구",1993,115.35,935
"노원구",1993,49.72,410
"노원구",1993,49.72,400
"노원구",1993,44.1,320
"노원구",1993,82.68,408
"노원구",1993,44.1,297
"노원구",1994,39.6,242
"노원구",1994,49.5,328
"노원구",1994,39.6,240
"노원구",1994,59.34,253
"노원구",1995,84.97,545
"노원구",1995,51.03,285
"노원구",1995,33.18,215
"노원구",1995,39.6,270
"노원구",1995,84.84,380
"노원구",1995,51.03,290
"노원구",1995,39.6,250
"노원구",1995,84.74,415
"노원구",1995,39.6,275
"노원구",1995,84.9,887
"노원구",1995,84.9,780
"노원구",1995,59.4,300
"노원구",1995,84.9,870
"노원구",1995,84.9,875
"노원구",1995,84.54,390
"노원구",1995,114.88,550
"노원구",1995,49.5,330
"노원구",1995,84.9,830
"노원구",1995,84.99,443
"노원구",1995,59.26,354
"노원구",1995,33.18,224
"노원구",1995,84.84,355
"노원구",1996,59.34,369
"노원구",1996,59.34,325
